,C_electricity_price_[$/MWh]
15/11/2009 22:40,-50
15/11/2009 22:45,50
15/11/2009 22:50,50
15/11/2009 22:55,50
15/11/2009 23:00,50
15/11/2009 23:05,100
15/11/2009 23:10,100
15/11/2009 23:15,100
15/11/2009 23:20,100
15/11/2009 23:25,100
15/11/2009 23:30,-50
15/11/2009 23:35,-50
15/11/2009 23:40,-50
15/11/2009 23:45,-50
15/11/2009 23:50,50
15/11/2009 23:55,50
16/11/2009 00:00,50
16/11/2009 00:05,50
16/11/2009 00:10,100
16/11/2009 00:15,100
16/11/2009 00:20,100
16/11/2009 00:25,100
16/11/2009 00:30,100
16/11/2009 00:35,-50
16/11/2009 00:40,-50
16/11/2009 00:45,-50
16/11/2009 00:50,-50
16/11/2009 00:55,50
16/11/2009 01:00,50
40133.0625,50
